逾期180天以上未还款本金,_OverDue_180_Princp
准备金,_Provn
子级别,_Sub_Lvl
子类型,_Subtype
子业务,_Sub_biz
自定义,_Self_Def
自治区,_Municp
字符串,_String
总额度,_Total_Lmt
总公司,_Headquts
总金额,_Total_Amt
总收入,_Gross_Income
总资产,_Gross_Ast
交费人,_Payee
满期金,_Maturity_Amt
收付费,_Rcv_Pay
手机号,_Mobile
折扣后,_Discnted
报案人,_Claimant
爱好,_Prefer
安排,_Plan
安全,_Safe
安装,_Setup
按天,_Day
按月,_Mon
案件,_Case
案由,_Case_Reason
颁发,_award
板块,_Plate
版本,_Version
办公,_Office
办理,_Proc
绑定,_Bind
包含,_Incl
包括,_Include
保本,_Break_Even
保存,_Save
保单,_Policy
保底,_Min_Guar
保费,_Premium
保管,_Keep
保留,_Reserve
保全,_Presv
保税,_Bonded
保险,_Insur
保证,_Guar
报表,_Rpt
报酬,_Reward
报废,_Discard
报告,_Rpt
报警,_Alarm
报送,_Rpt
报文,_Msg
暴露,_Expose
备用,_Standby
备注,_Memo
背景,_Bckgrd
背书,_Endorse
倍数,_Times
被动,_Passive
被告,_Appellee
本币,_Dccy
本次,_Curr
本地,_Local
本季,_Qtr
本金,_Princp
本年,_Annual
本期,_Term
本日,_Daily
本月,_Mon
比较,_Compare
比例,_Ratio
比率,_Ratio
笔数,_Cnt
币种,_Ccy
编号,_Id
编码,_Code
变动,_Chg
变更,_Chg
变量,_Var
变现,_Liqd
标的,_Subj_Matter
标识,_Flag
标题,_Title
标志,_Ind
标注,_Mark
标准,_Std
表名,_Tbl_Name
别名,_Alias
波动,_Fluct
播放,_Play
补偿,_Comp
补充,_Complt
补打,_Reprint
补计,_Complt
补件,_Sup_Doc
不含,_Exclude
不足,_Shortage
步长,_Base
步骤,_Step
部分,_Part
部门,_Dept
财务,_Fin
财政,_Fin
采购,_Purch
菜单,_Menu
参保,_insure
参加,_Join
参缴,_insure
参考,_Ref
参数,_Par
参与,_Ptcp
仓库,_Store
操作,_Oper
测量,_Measure
测算,_Precompute
策略,_Stra
层次,_Hierch
层级,_Rank
曾经,_Once
插入,_Ins
查封,_Distrain
查复,_Qry_Back
查询,_Qry
差别,_Diff
差错,_Err
差额,_Diff
差异,_Diff
产品,_Prd
产生,_Create
常数,_Constant
常驻,_Resident
偿还,_Repay
厂家,_Factory
厂商,_Maker
场地,_Site
场所,_Site
敞口,_Expose
超出,_Beyond
超额,_Excess
超级,_Super
超时,_Overtime
超限,_Exceed_Lmt
超证,_Exceed_Lc
撤单,_Cancel
撤消,_Cancel
撤销,_Cancel
称谓,_Title
成本,_Cost
成分,_Element
成功,_Success
成交,_Barg
成立,_Estab
成色,_Purity
成为,_Become
成员,_Member
承包,_Contract
承保,_Underwrite
承担,_Party
承诺,_Cmmt
承受,_Exps
承销,_Underwr
城建,_Constru
城市,_City
乘除,_Multi_Div
程度,_Degree
持久,_Perm
持续,_Last
持有,_Hold
冲补,_Reverse
冲抵,_Reverse
冲减,_Reduce
冲销,_Offset
冲账,_Reverse
冲正,_Reverse
出厂,_Make
出入,_Inout
出生,_Birth
出售,_Sell
出账,_Leave Acct
出租,_Rent
初次,_Fst
初缴,_Fst_Ins
初始,_Init
储蓄,_Saving
处罚,_Punish
处理,_Proc
处置,_Dispose
触发,_Trigger
触犯,_Offend
传输,_Transfer
传真,_Fax
船运,_Ship
创建,_Create
纯度,_Purity
磁道,_Track
次数,_Cnt
从到,_From_To
从事,_Work
从业,_Career
促销,_Promt
催收,_Dun
村镇,_Town
存储,_Save
存单,_Dep_Recpt
存货,_Inventory
存入,_Dep
存在,_Exist
存折,_Passbook
错误,_Err
错账,_Ero_Act
